AAPL,106.82,10.0,2015-01-15,3.5
AAPL,175.88,14.0,2017-11-09,3.5
AAPL,94.99,7.0,2016-07-05,3.5
AMZN,553.98,11.0,2016-03-21,3.5
AMZN,527.46,24.0,2015-08-11,3.5
AMZN,1779.99,2.0,2019-10-30,3.5
GOOG,771.82,15.0,2017-01-01,3.8
GOOG,1046.4,15.0,2018-01-01,3.8
INTU,305.3,17.0,2020-07-05,3.5
INTU,379.85,7.0,2021-01-01,3.5
INTU,224.49,17.0,2019-02-05,3.5
INTU,258.89,25.0,2019-12-01,3.5
MSFT,112.91,7.0,2018-09-13,3.5
MSFT,102.8,5.0,2019-01-11,3.5
MSFT,92.66,4.0,2018-02-15,3.5
GOOG,1035.61,-10.0,2019-01-01,2.9
